twist_angle(°)   AA/period_area           AB/period_area
                 2.183307322       0.08005157384244113       0.17271925135527857       
                 2.186168356       0.07970183486195301       0.1729384187813545       
                 2.265847889       0.0808746291985544       0.1757914751389075       
                 2.349492308       0.08052497801313942       0.1745473849608518       
                 2.418407686       0.07970455410511405       0.17298818057358248       
                 2.467948074       0.0793673772212067       0.1724160834308574       
                 2.472014358       0.07932274522057534       0.17244950414318122       
                 2.497659221       0.07918206080346078       0.1719564198165181       
                 2.619959658       0.0784049678628102       0.1701525925382279       
                 2.721843871       0.0756489281875453       0.169635611559142       
                 2.819999777       0.07663929948973687       0.1668111609688522       
                 2.955072828       0.07538542780219815       0.16397868088130377       
                 2.98485327       0.07407709233056452       0.16134163599864243       
                 3.019346434       0.07530184193366093       0.16349501497420554       
